Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
36,1675281056271,01/02/2023 19:50:56,1675281055943,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-relativity,A
37,1675281056271,01/02/2023 19:50:56,1675281055943,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-relativity-quantised,1
38,1675281056271,01/02/2023 19:50:56,1675281055944,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-afraidsuccess,5
39,1675281056271,01/02/2023 19:50:56,1675281055945,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-afraidsuccess-quantised,5
40,1675281056271,01/02/2023 19:50:56,1675281055945,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-competence,5
41,1675281056271,01/02/2023 19:50:56,1675281055949,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-competence-quantised,5
42,1675281056271,01/02/2023 19:50:56,1675281055950,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-evaluation,2
43,1675281056386,01/02/2023 19:50:56,1675281055950,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-evaluation-quantised,2
44,1675281056386,01/02/2023 19:50:56,1675281055951,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-priaseexpectations,4
45,1675281056386,01/02/2023 19:50:56,1675281055952,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,Impostor-priaseexpectations-quantised,4
