Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
2,1675259220291,01/02/2023 13:47:00,1675259220083,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,age,21
3,1675259220348,01/02/2023 13:47:00,1675259220099,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender,Female
4,1675259220348,01/02/2023 13:47:00,1675259220099,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender-quantised,1
5,1675259220348,01/02/2023 13:47:00,1675259220099,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity,White
6,1675259220348,01/02/2023 13:47:00,1675259220099,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-quantised,3
7,1675259220348,01/02/2023 13:47:00,1675259220099,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-text,
8,1675259220348,01/02/2023 13:47:00,1675259220099,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,occupation,hospitality student working part time in HORECA
9,1675259220348,01/02/2023 13:47:00,1675259220100,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,education,in 3rd year of bachelor 
10,1675259220348,01/02/2023 13:47:00,1675259220100,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use,Yes
11,1675259220348,01/02/2023 13:47:00,1675259220100,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use-quantised,1
12,1675259220348,01/02/2023 13:47:00,1675259220100,1,01/02/2023 14:47:00,108492,7,questionnaire-z5r6,,26846527,BLIND,7974965,,live,,,mobile,Apple iPhone,iOS 16.1.1,Facebook 392.0.0.35.101,375x667,375x535,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,END QUESTIONNAIRE,119692
1,1675264256806,01/02/2023 15:10:56,1675264256754,0,01/02/2023 15:10:56,108492,7,questionnaire-z5r6,,26850712,BLIND,7976064,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1920x1080,954x1001,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,BEGIN QUESTIONNAIRE,
